name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Clayton,00-0023457,no,BAL,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,1,1,0,0,0,0,0,,,,,,,,,,,397,17,60,4,0,0,812,5,31,0,0,0,0,34
W.McGahee,00-0022178,no,BAL,,,,,,,11,3,13,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,37,75,4,0,0,432,762,939,135,27,2,1,3228
L.McClain,00-0025524,no,BAL,,,,,,,,,,,,,,,,,,,,,17,17,,1,0,,,,,,,,,,,,,,,,,,281,1,66,1,0,0,379,114,259,1,3,0,0,390
K.Washington,00-0022171,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,5,47,3,0,0,604,1,1,,0,0,0,1
D.Mason,00-0010500,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,107,153,14,0,0,2000,1,2,,0,0,0,2
T.Heap,00-0020516,no,BAL,,,,,,,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,129,125,12,0,0,1569,1,2,,0,0,0,2
S.Hauschka,00-0025944,no,BAL,K,,,,,,0,0,0,1,0,147,131,2498,393,204,3,204,0,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Koch,00-0024417,no,BAL,P,1,0,0,0,1,0,1,1,1,-10,,,,,,,,,,,,,,,1,1,0,0,0,0,13,3844,168,5225,466,21311,,,,,,,,,,,,,3,17,7,1,0,0,17
D.Edwards,00-0022750,no,BAL,,109,2,2,15.5,156,0,0,0,4,0,,,,,,,,,,14,14,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Carr,00-0023008,no,BAL,,19,5,5,2.5,110,1,0,2,0,4,,,,,,,,,,209,238,0,21,0,,,,,,,,,,,,,115,204,0,39,0,,,,,,,,,,,,,,
